type,timestamp,brand,total_public_interactions,favorite_count,hashtags,link_url,media_url,retweet_count,tags,text,tm_url,tweet_url,day_of_week,time
"photo,link",2019-06-21T11:55:00+0000,Detroit Pistons,50,42,Pistons,https://t.co/p9PTSQ7GIs,https://pbs.twimg.com/media/D9j_8qxXUAErR0_.jpg,8,,ICYMI: the #Pistons picked up wingman Tony Snell in a trade that sent Jon Leuer to the Bucks. @Keith_Langlois has the breakdown here: https://t.co/p9PTSQ7GIs https://t.co/FPheOvitet,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDktMTE2MzkxNTM3X3R3ZWV0/,https://www.twitter.com/DetroitPistons/status/1142038202972344320,Friday,11:55:00
photo,2019-06-21T11:54:19+0000,New York Knicks,3626,3124,KnicksDraft2019,,https://pbs.twimg.com/media/D9lViJeXYAEW0jN.jpg,502,,"Good morning, Knicks fam! Let's welcome @_iggy_braz to the Mecca  #KnicksDraft2019 https://t.co/GcCbcKRrKz",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTItMTE2MzkzNTYzX3R3ZWV0/,https://www.twitter.com/nyknicks/status/1142038030183800832,Friday,11:54:19
photo,2019-06-21T11:49:03+0000,Chicago Bulls,3954,3518,,,https://pbs.twimg.com/ext_tw_video_thumb/1142036584335925248/pu/img/ySXUUfibEJtPcfkS.jpg,436,,.@CobyWhite is fired up  https://t.co/RoUrdVOS5V,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTAtMTE2MzkyMTQxX3R3ZWV0/,https://www.twitter.com/chicagobulls/status/1142036704427163649,Friday,11:49:03
photo,2019-06-21T11:45:00+0000,Philadelphia 76ers,1435,1275,HereTheyCome NBADraft,,https://pbs.twimg.com/media/D9j_gNvXoAE3blD.jpg,160,['AB_ALLPOSTS'],"Wake up, @MatisseThybulle...  You're a Philadelphia 76er!!  #HereTheyCome x #NBADraft https://t.co/0CClu1ZMtK",https://app.trackmaven.com/#/workspaces/2788/feed/content/NTkxMzUtMTE2MzgzMjgyX3R3ZWV0/,https://www.twitter.com/sixers/status/1142035686536564736,Friday,11:45:00
photo,2019-06-21T11:07:47+0000,New Orleans Pelicans,3145,2908,,,https://pbs.twimg.com/ext_tw_video_thumb/1142026258483752961/pu/img/_IQjN_0UbKac_iSr.jpg,237,,https://t.co/wHEbYU5GeM,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjItMTE2Mzk0MzAyX3R3ZWV0/,https://www.twitter.com/PelicansNBA/status/1142026322170060800,Friday,11:07:47
photo,2019-06-21T11:05:00+0000,Indiana Pacers,493,450,,,https://pbs.twimg.com/media/D9j0ErpXYAArXQi.jpg,43,,"Georgia  to Indiana   With the 18th pick in last night's NBA Draft, we selected Goga Bitadze. https://t.co/KnwEzhkcEL",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDgtMTE2MzkzMjEwX3R3ZWV0/,https://www.twitter.com/Pacers/status/1142025620500688897,Friday,11:05:00
photo,2019-06-21T11:00:01+0000,Orlando Magic,403,339,,,https://pbs.twimg.com/ext_tw_video_thumb/1141911073399934977/pu/img/Yl8sC5J3ZTarsuHN.jpg,64,,".@JJudahIsaac 's little brother, Jeremiah, called in our pick! https://t.co/6EeGmveHNq",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTEtMTE2MzkyOTYxX3R3ZWV0/,https://www.twitter.com/OrlandoMagic/status/1142024364864368641,Friday,11:00:01
photo,2019-06-21T11:00:00+0000,Boston Celtics,11398,9571,,,https://pbs.twimg.com/media/D9j-PmEWsAEVv72.jpg,1827,,"Celtics fans, meet @Cboogie_3 [?] https://t.co/Ky9eqKDarY",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDYtMTE2MzkyNzU2X3R3ZWV0/,https://www.twitter.com/celtics/status/1142024364738711552,Friday,11:00:00
"photo,link",2019-06-21T10:58:52+0000,Cleveland Cavaliers,242,225,5 CavsDraft,https://t.co/KLHWG2FNUP,https://pbs.twimg.com/media/D9lI1y9XkAE-V5C.jpg,17,,What was last night like for @dariusgarland22?   @cayleighgriffin went one-on-one with the #5 pick: https://t.co/KLHWG2FNUP  #CavsDraft https://t.co/rHcgcyRnb1,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDMtMTE2MzkzMjA3X3R3ZWV0/,https://www.twitter.com/cavs/status/1142024075856031744,Friday,10:58:52
photo,2019-06-21T10:46:39+0000,Memphis Grizzlies,2710,2367,,,https://pbs.twimg.com/ext_tw_video_thumb/1142020841519112194/pu/img/KFSNusTP5-uKrGnr.jpg,343,,About last night....... https://t.co/ZApn0cODiC,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTYtMTE2Mzk2NjA0X3R3ZWV0/,https://www.twitter.com/memgrizz/status/1142021004962803712,Friday,10:46:39
